Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),"Train Time (Epoch, s)",Eval Time (s)
Book Review,MLP (Avg Learned Emb),0.8567333333333333,0.5504883444092072,0.6615670607021683,0.5465431788145656,0.8225968578056754,0.8193458974475624,0.8567333333333333,29.871,3.172
Book Review,RNN (Learned Emb),0.7976444444444445,0.29581097897660313,0.2658814814814815,0.3333333333333333,0.7078559519590796,0.6362366597530864,0.7976444444444445,50.951,3.821
Book Review,LSTM (Learned Emb),0.8614666666666667,0.5323340886823417,0.6265590494452419,0.5367411514667434,0.8205257385889322,0.8094204503034216,0.8614666666666667,83.191,11.599
Book Review,BiLSTM (Learned Emb),0.866,0.5945401775969174,0.698692475692955,0.5643535022189137,0.8388770285703533,0.8350233673431078,0.866,143.588,12.679
Book Review,CNN (Learned Emb),0.8649111111111111,0.5968764718994944,0.7384612993226898,0.5712018630295219,0.8375768431334861,0.8433757508179041,0.8649111111111111,85.712,8.136
Book Review,MLP (Avg GloVe Emb),0.8142,0.4109533304611254,0.48385444696530017,0.4052844358791499,0.7551633818982018,0.7300216568470544,0.8142,27.339,4.741
Book Review,CNN (GloVe Emb),0.8376,0.4766717898079598,0.7359020724986505,0.4598649543162155,0.788081671317276,0.8129677052604972,0.8376,58.32,6.952
Book Review,LSTM (GloVe Emb),0.8563555555555555,0.5272318079378765,0.5086298573842122,0.5474350282780925,0.8176995664266559,0.7824700670433643,0.8563555555555555,75.123,7.658
Book Review,BiLSTM (GloVe Emb),0.88,0.6789250654575074,0.7189408397960037,0.6571952706096061,0.8693821693678966,0.8642075568409443,0.88,552.994,26.758
Book Review,CNN-LSTM (GloVe Emb),0.8782888888888889,0.6723281911306769,0.7254911689682224,0.6399645394787489,0.8661689580096413,0.8610334964368764,0.8782888888888889,120.931,9.488
