Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),"Train Time (Epoch, s)",Eval Time (s)
Financial News,MLP (Avg Learned Emb),0.6588720770288858,0.43330243299505594,0.4056075982305491,0.46532316630355847,0.61702587387132,0.5803935843622857,0.6588720770288858,0.333,0.084
Financial News,RNN (Learned Emb),0.594222833562586,0.24849007765314926,0.19807427785419532,0.3333333333333333,0.44297543416572416,0.3531007759271487,0.594222833562586,2.042,0.202
Financial News,LSTM (Learned Emb),0.6629986244841816,0.4210787651798888,0.40306046448642424,0.44780319535221497,0.60690244796855,0.5651990306846482,0.6629986244841816,5.18,0.267
Financial News,BiLSTM (Learned Emb),0.7166437414030261,0.6207663764194974,0.6583340180500779,0.607704477802517,0.7014973161878927,0.7106492725087086,0.7166437414030261,12.373,0.616
Financial News,CNN (Learned Emb),0.7207702888583218,0.6396069998707512,0.675271288738781,0.6183388597604283,0.7097250275886031,0.7095050156192472,0.7207702888583218,3.883,0.231
Financial News,MLP (Avg GloVe Emb),0.6464924346629987,0.43991293617755595,0.5619737974447393,0.45756671614514755,0.6079671640437841,0.6260183477107008,0.6464924346629987,0.259,0.055
Financial News,CNN (GloVe Emb),0.7730398899587345,0.7198538447459931,0.741532014040184,0.7059955748681239,0.7665600953895244,0.767891744807353,0.7730398899587345,2.527,0.226
Financial News,LSTM (GloVe Emb),0.6313617606602476,0.3806988691273461,0.37163170991823674,0.40849673202614384,0.5654340414616537,0.526234700259309,0.6313617606602476,57.437,0.253
Financial News,BiLSTM (GloVe Emb),0.7455295735900963,0.6710746881438799,0.6993244801623707,0.6617502414071041,0.7335692216247496,0.7402637042519942,0.7455295735900963,12.099,0.664
Financial News,CNN-LSTM (GloVe Emb),0.7166437414030261,0.6219148925290917,0.6304928627702333,0.6247486173956761,0.7087791433129209,0.7106006529278188,0.7166437414030261,13.114,0.61
