Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),Train Time (s),Eval Time (s),Best Params
Book Review,Naive Bayes,0.8312888888888889,0.4650496689180676,0.7367020980662807,0.44055561078917166,0.779582373104448,0.8080326309888475,0.8312888888888889,0.417,0.024,Default
Book Review,Logistic Regression,0.8572444444444445,0.6755167279836236,0.6702453983547931,0.6814637963414146,0.8578086636660579,0.8586330518945521,0.8572444444444445,24.705,0.025,"{'C': 1.137658238924933, 'solver': 'liblinear'}"
Book Review,Linear SVM,0.8582666666666666,0.677729788572868,0.6726032645250252,0.6837217019618765,0.8586828724288422,0.8594200575919669,0.8582666666666666,7.754,0.017,"{'C': 0.29733113411751105, 'loss': 'hinge'}"
Book Review,Random Forest,0.8307777777777777,0.6375145364909538,0.6332302923596214,0.6450710318969216,0.8312645025070599,0.8328661993832656,0.8307777777777777,319.088,0.868,"{'n_estimators': 263, 'max_depth': 50, 'min_samples_split': 20, 'min_samples_leaf': 7}"
Book Review,LightGBM,0.8478222222222223,0.6842205506731199,0.6644762056999259,0.7096102718527684,0.8547603243633888,0.8639495475297174,0.8478222222222223,2382.918,0.811,"{'n_estimators': 489, 'learning_rate': 0.24498311371436596, 'num_leaves': 76, 'max_depth': 12, 'reg_alpha': 1.3258167339595008, 'reg_lambda': 0.0001599961958986367, 'colsample_bytree': 0.905449796173906, 'subsample': 0.9039892427787801, 'min_child_samples': 56}"
Financial News,Naive Bayes,0.6753782668500687,0.4607093083204443,0.7604935913759444,0.45748591459375776,0.611825725995849,0.6991014487575699,0.6753782668500687,0.009,0.001,Default
Financial News,Logistic Regression,0.7427785419532325,0.6964949342147645,0.7015841187157078,0.6927740469407137,0.739981567818538,0.7385988050636341,0.7427785419532325,0.21,0.001,"{'C': 99.790101562862, 'solver': 'liblinear'}"
Financial News,Linear SVM,0.7317744154057771,0.682627639926444,0.6860406144522475,0.6799560279952437,0.7296131106872917,0.7282238935904363,0.7317744154057771,0.107,0.002,"{'C': 5.20340782572213, 'loss': 'squared_hinge'}"
Financial News,Random Forest,0.7317744154057771,0.658289290826582,0.6879148629148629,0.6624545117192177,0.7200722037928107,0.7372202075778418,0.7317744154057771,0.3,0.048,"{'n_estimators': 165, 'max_depth': 42, 'min_samples_split': 11, 'min_samples_leaf': 4}"
Financial News,LightGBM,0.7537826685006878,0.7069469233544495,0.7026990759532962,0.7124911218048474,0.7535052870554307,0.7538728572246373,0.7537826685006878,57.734,0.049,"{'n_estimators': 629, 'learning_rate': 0.024222074378422335, 'num_leaves': 222, 'max_depth': 10, 'reg_alpha': 8.617543260805658e-05, 'reg_lambda': 5.3948820484868434e-05, 'colsample_bytree': 0.6533035703852993, 'subsample': 0.7916063485603703, 'min_child_samples': 13}"
