Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),Train Time (s),Eval Time (s)
Book Review,RoBERTa Full FT,0.9101333333333332,0.7641207689206952,0.7811966277037125,0.7504179059829492,0.9066477422094332,0.904168507246068,0.9101333333333332,8331.442,274.64
Book Review,BERT Full FT,0.9046888888888888,0.7564766966548792,0.7710917206735477,0.7434999096948102,0.9020696812985896,0.9000194929634077,0.9046888888888888,8154.485,277.789
Book Review,DistilBERT Full FT,0.8997555555555555,0.745369681444788,0.7617655517570192,0.7312301620847061,0.8965515704112923,0.8941068533411948,0.8997555555555555,4281.37,143.898
Book Review,RoBERTa LoRA FT,0.8984222222222222,0.719141877540694,0.7526124651662789,0.7037834429886437,0.8899143076637963,0.8864349284837768,0.8984222222222222,6150.405,299.453
Book Review,LightGBM,0.8478222222222223,0.6842205506731199,0.6644762056999259,0.7096102718527684,0.8547603243633888,0.8639495475297174,0.8478222222222223,2382.918,0.811
Book Review,BiLSTM (GloVe Emb),0.88,0.6789250654575074,0.7189408397960037,0.6571952706096061,0.8693821693678966,0.8642075568409443,0.88,552.994,26.758
Book Review,Linear SVM,0.8582666666666666,0.677729788572868,0.6726032645250252,0.6837217019618765,0.8586828724288422,0.8594200575919669,0.8582666666666666,7.754,0.017
Book Review,Logistic Regression,0.8572444444444445,0.6755167279836236,0.6702453983547931,0.6814637963414146,0.8578086636660579,0.8586330518945521,0.8572444444444445,24.705,0.025
Book Review,CNN-LSTM (GloVe Emb),0.8782888888888889,0.6723281911306769,0.7254911689682224,0.6399645394787489,0.8661689580096413,0.8610334964368764,0.8782888888888889,120.931,9.488
Book Review,BERT LoRA FT,0.8787777777777778,0.6715997397846097,0.7174696168092218,0.6482436466612698,0.8667640116706523,0.8614690282078064,0.8787777777777778,6164.697,305.192
Book Review,Random Forest,0.8307777777777777,0.6375145364909538,0.6332302923596214,0.6450710318969216,0.8312645025070599,0.8328661993832656,0.8307777777777777,319.088,0.868
Book Review,CNN (Learned Emb),0.8649111111111111,0.5968764718994944,0.7384612993226898,0.5712018630295219,0.8375768431334861,0.8433757508179041,0.8649111111111111,85.712,8.136
Book Review,BiLSTM (Learned Emb),0.866,0.5945401775969174,0.698692475692955,0.5643535022189137,0.8388770285703533,0.8350233673431078,0.866,143.588,12.679
Book Review,DistilBERT Feature Extractor + LR,0.7270888888888889,0.5881496090250468,0.5662280166919186,0.6819889062258934,0.7664643323302301,0.8451254664739084,0.727088888888889,964.105,0.132
Book Review,BERT Feature Extractor + LR,0.7223111111111111,0.5769554695926576,0.5568292770205004,0.6649852147931609,0.7623516743454901,0.8400358685559967,0.7223111111111111,546.254,0.131
Book Review,MLP (Avg Learned Emb),0.8567333333333333,0.5504883444092072,0.6615670607021683,0.5465431788145656,0.8225968578056754,0.8193458974475624,0.8567333333333333,29.871,3.172
Book Review,LSTM (Learned Emb),0.8614666666666667,0.5323340886823417,0.6265590494452419,0.5367411514667434,0.8205257385889322,0.8094204503034216,0.8614666666666667,83.191,11.599
Book Review,LSTM (GloVe Emb),0.8563555555555555,0.5272318079378765,0.5086298573842122,0.5474350282780925,0.8176995664266559,0.7824700670433643,0.8563555555555555,75.123,7.658
Book Review,CNN (GloVe Emb),0.8376,0.4766717898079598,0.7359020724986505,0.4598649543162155,0.788081671317276,0.8129677052604972,0.8376,58.32,6.952
Book Review,Naive Bayes,0.8312888888888889,0.4650496689180676,0.7367020980662807,0.4405556107891716,0.779582373104448,0.8080326309888475,0.8312888888888889,0.417,0.024
Book Review,MLP (Avg GloVe Emb),0.8142,0.4109533304611254,0.4838544469653001,0.4052844358791499,0.7551633818982018,0.7300216568470544,0.8142,27.339,4.741
Book Review,RNN (Learned Emb),0.7976444444444445,0.2958109789766031,0.2658814814814815,0.3333333333333333,0.7078559519590796,0.6362366597530864,0.7976444444444445,50.951,3.821
