Dataset,Model,Accuracy,F1 (Macro),Precision (Macro),Recall (Macro),F1 (Weighted),Precision (Weighted),Recall (Weighted),Train Time (s),Eval Time (s)
Financial News,RoBERTa LoRA FT,0.8404401650618982,0.8337329377480232,0.8142779142779143,0.8589544079740158,0.8409677564831212,0.8444349063331181,0.8404401650618982,493.329,1.556
Financial News,BERT LoRA FT,0.8376891334250344,0.8225959271751351,0.8025425425425426,0.8492951311578762,0.8391884172319162,0.8445922401080587,0.8376891334250344,720.848,1.527
Financial News,CNN (GloVe Emb),0.7675378266850069,0.707327108054284,0.7509606043573359,0.6870820265428108,0.7552819165237479,0.7658818293708451,0.7675378266850069,0.236,0.03
Financial News,LightGBM,0.7537826685006878,0.7069469233544495,0.7026990759532962,0.7124911218048474,0.7535052870554307,0.7538728572246373,0.7537826685006878,57.734,0.049
Financial News,Logistic Regression,0.7427785419532325,0.6964949342147645,0.7015841187157078,0.6927740469407137,0.739981567818538,0.7385988050636341,0.7427785419532325,0.21,0.001
Financial News,Linear SVM,0.7317744154057771,0.682627639926444,0.6860406144522475,0.6799560279952437,0.7296131106872917,0.7282238935904363,0.7317744154057771,0.107,0.002
Financial News,CNN (Learned Emb),0.7386519944979367,0.6706744517293495,0.7063524598735866,0.6491676442656834,0.7288318515927148,0.731484644914329,0.7386519944979367,0.343,0.096
Financial News,BiLSTM (Learned Emb),0.734525447042641,0.6599852493778157,0.6834365293738446,0.6436571779709035,0.727058595221369,0.7248595401740338,0.734525447042641,0.301,0.036
Financial News,Random Forest,0.7317744154057771,0.658289290826582,0.6879148629148629,0.6624545117192177,0.7200722037928107,0.7372202075778418,0.7317744154057771,0.3,0.048
Financial News,CNN-LSTM (GloVe Emb),0.7180192572214581,0.6059271786355453,0.6498756094692152,0.5849902639118325,0.7024640700181362,0.7008544455277593,0.7180192572214581,0.299,0.03
Financial News,BiLSTM (GloVe Emb),0.7290233837689133,0.6042284382284383,0.6518834479360796,0.583909418468242,0.7111383691961409,0.709617923764018,0.7290233837689133,0.281,0.032
Financial News,MLP (Avg GloVe Emb),0.687757909215956,0.5735230010324653,0.6003185987509757,0.5590868826162945,0.6742485355261636,0.6691387704595897,0.687757909215956,0.2,0.035
Financial News,Naive Bayes,0.6753782668500687,0.4607093083204443,0.7604935913759444,0.4574859145937577,0.611825725995849,0.6991014487575699,0.6753782668500687,0.009,0.001
Financial News,LSTM (Learned Emb),0.6698762035763411,0.4513453100163942,0.4225238813474107,0.4904684095860567,0.6340013506244102,0.6068651309852054,0.6698762035763411,0.272,0.03
Financial News,MLP (Avg Learned Emb),0.6492434662998624,0.4222768548180155,0.396128911570591,0.4521604938271604,0.6050244704089893,0.5664765945565989,0.6492434662998624,0.286,0.028
Financial News,LSTM (GloVe Emb),0.6203576341127923,0.3893904073512003,0.3686518794512041,0.4161220043572984,0.5693389460398683,0.5288121195299783,0.6203576341127923,0.239,0.028
Financial News,RNN (Learned Emb),0.5955983493810179,0.2549994706606712,0.4206568446899938,0.3358297022512709,0.4485192804329856,0.5408133022259037,0.5955983493810179,0.286,0.029
